ride_time,station
2022-01-13 08:56:00,부천고교.현대아파트
2022-01-13 18:26:00,부천시청
2022-01-13 18:27:00,축협원미지점
2022-01-13 18:43:00,시민운동장.시민회관
2022-01-13 18:56:00,상동역1번출구.부천터미널소풍.홈플러스
2022-01-13 21:49:00,중동
2022-01-13 23:00:00,부천시청
2022-01-14 07:27:00,중동
2022-01-14 09:08:00,부천시청
2022-01-14 16:37:00,신중동
2022-01-14 16:51:00,부천종합운동장
2022-01-14 17:06:00,부천종합운동장
2022-01-14 17:18:00,신중동
2022-01-14 17:52:00,부천시청
2022-01-14 21:47:00,중동
2022-01-15 01:46:00,부천시청역5번출구
2022-01-15 05:26:00,부천대입구
2022-01-15 05:34:00,축협원미지점
2022-01-15 06:28:00,상동역1번출구.부천터미널소풍.홈플러스
2022-01-15 06:28:00,상동역1번출구.부천터미널소풍.홈플러스
2022-01-15 06:31:00,계룡리슈빌
2022-01-15 07:27:00,중동
2022-01-15 14:48:00,중동
2022-01-16 09:57:00,부천시청
2022-01-16 21:18:00,부천자유시장.대산동행정복지센터
2022-01-16 21:33:00,경기국제통상고.포도마을뉴서울.중앙공원
2022-01-17 07:22:00,중동
2022-01-17 07:41:00,상동
2022-01-17 07:47:00,오정농협
2022-01-17 08:00:00,부천종합운동장
2022-01-17 19:08:00,송내역.투나
2022-01-17 19:15:00,포도마을.보람마을
2022-01-17 21:42:00,춘의역
2022-01-17 21:45:00,도당동주민센터
2022-01-17 21:49:00,중동
2022-01-17 22:29:00,부천
2022-01-17 22:41:00,부천역북부(기점)
2022-01-17 23:06:00,한라마을.금강주공아파트
2022-01-18 06:55:00,부천대입구
2022-01-18 07:02:00,축협원미지점
2022-01-18 07:23:00,중동
2022-01-18 10:48:00,축협원미지점
2022-01-18 11:04:00,시민운동장.시민회관
2022-01-18 13:04:00,부천시민학습원
2022-01-18 13:12:00,신중동역2번출구.원미경찰서.롯데백화점
2022-01-18 13:16:00,신중동
2022-01-18 15:21:00,중동행정복지센터.시민회관
2022-01-18 15:38:00,축협원미지점
2022-01-18 15:52:00,부천축산물공판장
2022-01-18 16:15:00,포도마을사거리.현대백화점.이마트
2022-01-18 18:16:00,풍림아파트.부천다문화지원센터
2022-01-18 18:31:00,시민운동장.시민회관
2022-01-18 21:52:00,중동
2022-01-19 07:22:00,중동
2022-01-19 08:26:00,송내역.로데오거리
2022-01-19 11:42:00,춘의
2022-01-19 13:01:00,부천시민학습원
2022-01-19 13:09:00,신중동역2번출구.원미경찰서.롯데백화점
2022-01-19 13:13:00,신중동
2022-01-19 13:18:00,중원초교
2022-01-19 13:23:00,포도마을사거리.현대백화점.이마트
2022-01-19 15:45:00,부천축산물공판장
2022-01-19 16:16:00,상동역6번출구.세이브존
2022-01-19 16:32:00,상동역1번출구.부천터미널소풍.홈플러스
2022-01-19 16:35:00,포도마을사거리.현대백화점.이마트
2022-01-19 16:36:00,포도마을사거리.현대백화점.이마트
2022-01-19 16:41:00,중동시장앞.넘말
2022-01-19 17:15:00,까치울
2022-01-19 17:25:00,까치울역3번출구
2022-01-19 17:34:00,성곡파출소
2022-01-19 21:55:00,중동
2022-01-20 06:46:00,중동역
2022-01-20 06:54:00,부천시청역2번출구.현대백화점.이마트
2022-01-20 06:55:00,부천대입구
2022-01-20 07:02:00,축협원미지점
2022-01-20 07:23:00,중동
2022-01-20 07:39:00,오정농협
2022-01-20 07:47:00,까치울역2번출구
2022-01-20 07:51:00,까치울
2022-01-20 08:00:00,여월중
2022-01-20 08:29:00,포도마을사거리.현대백화점.이마트
2022-01-20 08:36:00,중앙병원입구.송내자이아파트
2022-01-20 08:46:00,송내e편한세상.부천고
2022-01-20 10:39:00,축협원미지점
2022-01-20 10:53:00,시민운동장.시민회관
2022-01-20 12:58:00,부천시민학습원
2022-01-20 13:08:00,신중동역2번출구.원미경찰서.롯데백화점
2022-01-20 13:13:00,신중동
2022-01-20 16:47:00,부천체육관
2022-01-20 16:50:00,신중동
2022-01-20 16:56:00,부명고.순천향대학병원
2022-01-20 17:05:00,부천종합운동장
2022-01-20 17:18:00,부천종합운동장
2022-01-20 17:27:00,신중동
2022-01-20 18:09:00,중앙병원입구.송내자이아파트
2022-01-20 18:38:00,경기국제통상고.포도마을뉴서울.중앙공원
2022-01-20 18:41:00,까치울
2022-01-20 18:44:00,까치울역3번출구
2022-01-20 18:49:00,여월중
2022-01-20 19:00:00,원종사거리
2022-01-20 19:21:00,신중동
2022-01-20 19:24:00,신중동역3번출구.원미경찰서.롯데백화점
2022-01-20 19:32:00,부천시민학습원
2022-01-20 21:47:00,중동
2022-01-20 23:11:00,춘의역7번출구
2022-01-20 23:16:00,도당사거리.도당중학교
2022-01-21 07:23:00,중동
2022-01-21 07:44:00,오정농협
2022-01-21 07:56:00,까치울역2번출구
2022-01-21 07:57:00,까치울
2022-01-21 07:58:00,여월중
2022-01-21 08:29:00,중앙병원입구.송내자이아파트
2022-01-21 08:49:00,신중동
2022-01-21 10:22:00,신중동
2022-01-21 12:28:00,부천시민학습원
2022-01-21 12:36:00,위브더스테이트5단지
2022-01-21 12:38:00,신중동
2022-01-21 12:55:00,부천역북부.농협
2022-01-21 16:53:00,포도마을사거리.현대백화점.이마트
2022-01-21 17:17:00,중동행정복지센터.시민회관
2022-01-21 18:12:00,중앙병원입구.송내자이아파트
2022-01-21 18:35:00,까치울
2022-01-21 18:37:00,까치울역3번출구
2022-01-21 18:52:00,원종사거리
2022-01-21 18:55:00,여월중
2022-01-21 19:18:00,신중동
2022-01-21 19:23:00,신중동역3번출구.원미경찰서.롯데백화점
2022-01-21 19:32:00,부천시민학습원
2022-01-21 19:50:00,신중동
2022-01-21 21:50:00,중동
2022-01-21 22:32:00,송내
2022-01-21 22:35:00,송내역A
2022-01-21 22:48:00,계룡리슈빌
2022-01-22 07:07:00,여월중
2022-01-22 07:16:00,공구상가.부천천문과학관
2022-01-22 07:18:00,춘의
2022-01-22 07:28:00,중동
2022-01-22 10:15:00,송내역남부(광역버스)
2022-01-22 14:22:00,시민운동장
2022-01-22 14:23:00,부천전화국
2022-01-22 17:30:00,춘의
2022-01-22 17:36:00,춘의역
2022-01-22 17:47:00,여월중
2022-01-22 21:23:00,송내
2022-01-22 21:27:00,송내역A
2022-01-22 21:44:00,부천시청역1번출구
2022-01-22 21:45:00,중동
2022-01-23 10:34:00,부천시청
2022-01-23 14:08:00,신중동행정복지센터.고용노동지청
2022-01-23 14:13:00,영안아파트
2022-01-23 21:36:00,신중동역3번출구.원미경찰서.롯데백화점
2022-01-23 21:45:00,부천역북부(기점)
2022-01-24 07:23:00,중동
2022-01-24 07:47:00,오정농협
2022-01-24 07:54:00,여월휴먼시아3단지
2022-01-24 07:57:00,까치울
2022-01-24 08:02:00,여월중
2022-01-24 08:37:00,중앙병원입구.송내자이아파트
2022-01-24 08:48:00,세일병원입구
2022-01-24 09:05:00,신중동
2022-01-24 12:28:00,부천시민학습원
2022-01-24 12:36:00,신중동역2번출구.원미경찰서.롯데백화점
2022-01-24 12:39:00,신중동
2022-01-24 18:03:00,중앙병원입구.송내자이아파트
2022-01-24 18:18:00,대성병원.심곡천사거리
2022-01-24 18:38:00,까치울
2022-01-24 18:39:00,까치울역3번출구
2022-01-24 18:45:00,여월중
2022-01-24 18:53:00,원종사거리
2022-01-24 21:15:00,신중동
2022-01-24 21:47:00,중동
2022-01-25 07:23:00,중동
2022-01-25 07:44:00,오정농협
2022-01-25 07:53:00,까치울역2번출구
2022-01-25 07:54:00,까치울
2022-01-25 07:57:00,여월중
2022-01-25 08:38:00,중앙병원입구.송내자이아파트
2022-01-25 09:04:00,신중동
2022-01-25 10:43:00,축협원미지점
2022-01-25 10:56:00,부천대입구
2022-01-25 12:58:00,대성병원.심곡천사거리
2022-01-25 13:09:00,신중동역2번출구.원미경찰서.롯데백화점
2022-01-25 13:12:00,신중동
2022-01-25 18:06:00,중앙병원입구.송내자이아파트
2022-01-25 18:38:00,까치울
2022-01-25 18:44:00,여월중
2022-01-25 18:46:00,까치울역3번출구
2022-01-25 18:59:00,원종사거리
2022-01-25 20:58:00,신중동
2022-01-25 21:49:00,중동
2022-01-26 07:23:00,중동
2022-01-26 07:39:00,오정농협
2022-01-26 07:47:00,부천종합운동장역4번출구
2022-01-26 07:52:00,부천종합운동장
2022-01-26 07:57:00,여월중
2022-01-26 08:30:00,중앙병원입구.송내자이아파트
2022-01-26 08:50:00,세일병원입구
2022-01-26 09:11:00,신중동
2022-01-26 10:40:00,부천시민학습원
2022-01-26 10:54:00,부천시청역5번출구
2022-01-26 13:19:00,부천시청
2022-01-26 18:09:00,중앙병원입구.송내자이아파트
2022-01-26 18:38:00,까치울
2022-01-26 18:39:00,까치울역3번출구
2022-01-26 18:49:00,원종사거리
2022-01-26 18:52:00,여월중
2022-01-26 21:11:00,신중동
2022-01-26 21:19:00,상동
2022-01-26 21:47:00,중동
2022-01-26 22:20:00,신중동
2022-01-27 07:10:00,부천대입구
2022-01-27 07:20:00,축협원미지점
2022-01-27 07:23:00,중동
2022-01-27 07:39:00,오정농협
2022-01-27 07:50:00,까치울역2번출구
2022-01-27 07:52:00,까치울
2022-01-27 08:08:00,여월중
2022-01-27 08:39:00,중앙병원입구.송내자이아파트
2022-01-27 09:01:00,신중동
2022-01-27 10:34:00,축협원미지점
2022-01-27 10:47:00,부천역.국민은행
2022-01-27 13:08:00,부천시민학습원
2022-01-27 13:15:00,신중동역2번출구.원미경찰서.롯데백화점
2022-01-27 13:18:00,신중동
2022-01-27 14:32:00,중동역
2022-01-27 14:46:00,부천시청역2번출구.현대백화점.이마트
2022-01-27 16:12:00,부천시청역5번출구
2022-01-27 16:20:00,상동역8번출구.세이브존
2022-01-27 16:25:00,부천터미널소풍
2022-01-27 16:35:00,한라마을.덕유마을
2022-01-27 16:39:00,송내역.로데오거리
2022-01-27 16:43:00,부명고.순천향대학병원
2022-01-27 16:49:00,송내역B
2022-01-27 17:17:00,삼익세라믹아파트.SKVIEW아파트
2022-01-27 17:48:00,대성병원
2022-01-27 18:00:00,KT부천지사
2022-01-27 18:06:00,중앙병원입구.송내자이아파트
2022-01-27 18:38:00,까치울
2022-01-27 18:42:00,까치울역3번출구
2022-01-27 18:45:00,여월중
2022-01-27 18:54:00,오정농협
2022-01-27 20:23:00,신중동
2022-01-27 21:22:00,삼익세라믹아파트.SKVIEW아파트
2022-01-27 21:36:00,부천시청역2번출구.현대백화점.이마트
2022-01-27 21:46:00,신중동역4번출구.롯데백화점
2022-01-27 21:52:00,중동
2022-01-28 07:22:00,중동
2022-01-28 07:42:00,오정농협
2022-01-28 07:51:00,부천종합운동장역4번출구
2022-01-28 07:54:00,부천종합운동장
2022-01-28 08:07:00,여월중
2022-01-28 08:40:00,중앙병원입구.송내자이아파트
2022-01-28 09:07:00,신중동
2022-01-28 12:21:00,부천시민학습원
2022-01-28 12:29:00,신중동역2번출구.원미경찰서.롯데백화점
2022-01-28 12:33:00,신중동
2022-01-28 14:45:00,까치울
2022-01-28 14:55:00,까치울역3번출구
2022-01-28 15:13:00,오정농협
2022-01-28 18:16:00,중앙병원입구.송내자이아파트
2022-01-28 18:50:00,여월중
2022-01-28 19:10:00,신중동
2022-01-28 19:15:00,신중동
2022-01-28 19:24:00,신중동역3번출구.원미경찰서.롯데백화점
2022-01-28 19:31:00,대성병원.심곡천사거리
2022-01-28 21:52:00,중동
2022-01-29 07:03:00,여월중
2022-01-29 07:12:00,춘의역6번출구
2022-01-29 07:14:00,춘의
2022-01-29 07:27:00,중동
2022-01-29 09:29:00,까치울
2022-01-29 12:37:00,송내
2022-01-29 12:46:00,부천
2022-01-29 13:46:00,까치울
2022-01-29 21:45:00,중동
2022-01-30 11:52:00,중동
2022-01-30 12:01:00,부천
2022-01-30 14:01:00,오정농협
2022-01-30 16:47:00,부천
2022-01-30 17:40:00,중동
2022-01-31 07:26:00,중동
2022-01-31 11:11:00,영화아파트
2022-01-31 11:29:00,종합운동장
2022-01-31 12:36:00,부천종합운동장역5번출구
2022-01-31 12:46:00,근화아파트
2022-01-31 21:45:00,중동
2022-02-02 07:04:00,여월중
2022-02-02 07:11:00,춘의역6번출구
2022-02-02 07:13:00,춘의
2022-02-02 17:28:00,춘의
2022-02-02 17:33:00,춘의역7번출구
2022-02-02 17:37:00,까치울
2022-02-02 17:43:00,여월중
2022-02-03 06:46:00,부천대입구
2022-02-03 06:55:00,축협원미지점
2022-02-03 08:06:00,여월중
2022-02-03 08:38:00,중앙병원입구.송내자이아파트
2022-02-03 08:53:00,세일병원입구
2022-02-03 12:40:00,송내역남부
2022-02-03 12:40:00,은하마을.덕유마을
2022-02-03 12:46:00,송내역A
2022-02-03 12:58:00,송내역C
2022-02-03 13:01:00,부천시민학습원
2022-02-03 13:09:00,신중동역2번출구.원미경찰서.롯데백화점
2022-02-03 13:12:00,신중동
2022-02-03 13:14:00,부천체육관.부천아이파크
2022-02-03 13:33:00,부천실내체육관
2022-02-03 13:41:00,송내역.로데오거리
2022-02-03 13:45:00,송내역남부
2022-02-03 13:48:00,구산사거리
2022-02-03 14:50:00,부천시청
2022-02-03 15:51:00,중동행정복지센터.시민회관
2022-02-03 16:05:00,축협원미지점
2022-02-03 16:22:00,부천체육관
2022-02-03 16:40:00,복사골문화센터
2022-02-03 18:09:00,중앙병원입구.송내자이아파트
2022-02-03 18:36:00,축협원미지점
2022-02-03 18:51:00,여월중
2022-02-03 18:54:00,KT부천지사
2022-02-04 07:22:00,중동
2022-02-04 08:06:00,여월중
