station,stationid,latitude,longitude
시민운동장.시민회관,210000100,37.4876167,126.7719333
시온고등학교,211000168,37.4705333,126.80505
시온고등학교,211000216,37.4705,126.8048833
신동문아파트,212000116,37.5299,126.7979667
신동문아파트,212000115,37.5300667,126.7977667
신일해피트리아파트,211000066,37.4784667,126.8106
신일해피트리아파트,211000077,37.4784167,126.8101333
신작동사거리,212000345,37.5192,126.8147333
신작동사거리,212000346,37.5192667,126.8144833
신중동역1번출구.꿈마을.삼환아파트,210000241,37.5023667,126.7794
신중동역2번출구.원미경찰서.롯데백화점,210000169,37.5009667,126.7770667
신중동역3번출구.롯데백화점.홈플러스중동지점,210000164,37.5031833,126.7729667
신중동역3번출구.원미경찰서.롯데백화점,210000453,37.50155,126.7763667
신중동역4번출구.롯데백화점.홈플러스중동지점,210000163,37.5037,126.7728833
신중동역5번출구.중흥중학교,210000105,37.5052667,126.7753833
신중동역6번출구.중흥중학교,210000168,37.5054667,126.7757667
신중동역7번출구.심원고교.삼환아파트.중3동주민센터,210000107,37.5028667,126.77895
신한일전기,211000051,37.4827833,126.7638667
신한일전기,211000091,37.4815833,126.7638333
신흥동주민센터,212000171,37.5201167,126.7734333
신흥동주민센터,212000164,37.5203167,126.7735667
신흥시장,212000038,37.5156,126.7699667
신흥시장,210000555,37.51495,126.7691333
신흥시장,212000037,37.5155167,126.7702833
신흥시장,210000556,37.5152167,126.7693167
신흥시장입구,212000348,37.5152167,126.772
신흥시장입구,212000349,37.515,126.7720667
심곡2동행정복지센터.원미초교,210000401,37.48845,126.7869
심곡2동행정복지센터.원미초교,210000400,37.4884333,126.78755
심곡고가사거리,211000102,37.4840333,126.7751833
심곡동양파라곤,211000223,37.4837333,126.7751333
심곡본동행정복지센터.일신교회,211000249,37.4798333,126.7816833
심곡본동행정복지센터.일신교회,211000059,37.4794833,126.78145
심곡약국,211000040,37.4773,126.7750667
심곡약국,211000039,37.47765,126.7748167
심곡천종점.부천보건소,210000113,37.4932,126.7807
심곡천종점.부천보건소,210000132,37.4927667,126.7819667
심곡초등학교,210000030,37.4912667,126.7760833
심곡초등학교,210000315,37.4909333,126.7768333
심원고등학교,210000272,37.5041,126.78015
심원고등학교,210000270,37.5038833,126.7803833
심원초등학교,210000109,37.4996833,126.78115
심원초등학교,210000239,37.5000667,126.7808333
심정고가교삼거리(경유),277102932,37.5256333,126.76105
쌍용3차.부천테크노파크,212000370,37.5226167,126.76735
쌍용아파트,210000253,37.5117667,126.7588333
써미트빌.진달래마을,210000211,37.5082167,126.7537833
씨에스아이엔테크,210000276,37.5141167,126.7801667
씨에스아이엔테크,210000266,37.5144167,126.7803833
아인스월드,210000330,37.5112833,126.7441167
아인스월드,210000548,37.5119,126.7453
아인스월드.영상문화단지후문,210000208,37.5104667,126.7494167
아인스월드.영상문화단지후문,210000197,37.5109,126.7485333
약대동주민센터.약대초등학교,210000066,37.5139667,126.7699667
약대동주민센터.약대초등학교,210000057,37.5130167,126.7701667
약대사거리,210000179,37.5145667,126.7745833
약대사거리,212000396,37.51575,126.7754667
약대사거리,212000397,37.5176,126.7751333
약대오거리,212000032,37.51525,126.7746667
약대오거리.동부하이텍,210000374,37.5152333,126.7763167
약대초등학교입구,210000338,37.5133667,126.7750167
양문교회,210000387,37.4892167,126.8099833
양문교회,210000300,37.4892333,126.8097833
양우아파트,211000157,37.47035,126.7975667
